merchant_id;latitude;longitude
178;55.055553;82.911833
267;55.726877;37.579645
357;54.706402;20.47142
505;64.553811;40.551964
532;55.768355;49.217176
628;55.7445;37.630176
785;59.933816;30.322417
1120;51.541568;46.014206
1509;55.752485;37.623196
1690;59.955038;30.361305
1870;55.681427;37.849472
1928;55.73072;52.392397
2025;59.924091;30.34306
2049;59.857468;30.388245
2167;54.969915;73.379612
2182;57.97305;56.156752
3158;59.922391;30.352286
3602;55.711858;37.898574
3886;55.747485;37.581298
4262;55.808543;37.512389
4821;56.320338;43.947623
4907;59.969993;30.232522
5007;55.73291;37.710952
5264;59.20431;39.814034
5516;57.774571;40.938321
5770;55.68942;37.60213
6156;55.672803;37.531738
6383;55.657189;37.481909
6422;55.776062;37.649795
6586;59.954773;30.214808
6699;55.783377;37.47448
6741;55.794715;37.928021
7180;54.515419;36.252133
7339;55.991893;37.214382
7346;55.768329;37.597459
7907;55.949859;37.869586
8046;59.994031;30.146104
8501;59.860916;30.262364
8651;55.605617;37.486463
8742;56.837504;60.600071
9085;55.694109;37.565946
9240;55.760241;37.611347
9608;51.583051;45.950309
9989;48.488017;135.083802
10113;55.042396;82.915264
11124;55.54619;37.55778
11146;55.775069;37.843067
11183;58.378632;33.944182
11677;55.702936;37.662632
11772;55.049926;73.320269
12126;51.531103;46.046599
12467;59.85642;30.225318
13348;61.776199;34.30861
13376;55.336621;86.188932
13668;53.197054;50.112626
13725;56.036362;92.918751
13841;56.475539;84.966963
14094;59.845935;30.421564
14181;55.884716;37.60107
14292;60.047178;30.314943
14690;55.770568;37.42138
15153;55.744632;37.566072
15224;55.691775;37.8555
15605;55.757561;37.63959
15876;59.849135;30.317305
15947;50.265208;127.522062
16046;57.97305;56.156752
16125;55.677621;37.516539
16433;55.75981;37.645501
16854;55.916118;37.846023
17129;43.237866;46.566437
17154;60.031778;30.436683
17559;56.472401;84.986339
17835;59.837558;30.316165
17861;54.721;20.507963
17910;59.925723;30.315913
19042;55.751563;37.802014
19051;55.667325;37.577175
19169;59.900019;30.362167
19651;56.142626;40.405503
19663;56.832339;60.58903
19829;55.775115;37.481918
19894;60.639909;28.998426
20423;55.792361;37.607664
21179;56.31609;43.898656
23335;59.967255;30.274465
23577;56.967944;60.57331
23687;59.929222;30.366066
24107;57.149103;65.547264
24617;55.718451;37.662794
24655;59.876332;30.376433
24868;55.779687;37.478603
24993;59.946383;30.350094
25107;55.622604;37.60593
25124;60.004883;30.262912
25170;55.958865;38.05463
25420;55.772563;37.676942
25427;55.699781;37.765381
25524;55.909635;37.707799
25873;51.838716;55.155786
26314;59.938707;30.278363
26430;60.00168;30.304037
26650;54.726138;20.526657
27106;55.721965;37.423402
27133;55.879046;37.610961
28436;55.757085;37.715345
28477;51.717747;39.177533
28900;56.128315;40.403068
29403;57.97305;56.156752
29513;55.661008;37.880222
29684;55.773449;37.590003
29805;59.924276;30.350552
30130;60.00222;30.384095
30935;55.814057;37.733527
31295;55.105156;82.934291
31530;55.658535;37.55664
31751;56.509956;85.015328
32023;60.087677;29.947559
32177;60.012539;30.255591
32323;55.631397;37.478486
32444;60.014922;30.385541
32929;59.840465;30.491839
32947;55.729939;37.674112
33130;59.891308;30.47434
33236;55.451967;37.763198
33251;43.167911;131.918588
34218;55.035519;82.900577
34358;58.015099;56.238696
35293;55.633485;37.70823
35307;59.905786;29.077307
