count_good,count_good_unique
4.0,2.0
4.0,2.0
4.0,2.0
4.0,2.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
9.0,7.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
21.0,10.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
31.0,20.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,6.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
18.0,8.0
3.0,3.0
3.0,3.0
3.0,3.0
4.0,3.0
4.0,3.0
4.0,3.0
4.0,3.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
2019.0,960.0
